n_reg,n_l,n_yl,n_kv,n_v,rn_v,rn_l,rn_yl,rn_kv,c_reg,c_l,c_yl,c_kv,c_v,n_yr
Кировская область,Слободское,Слободское,112,24,43:31:7:8:29,43:31,43:31:7,43:31:7:8,43,31,7,8,29,
Кировская область,Слободское,Слободское,112,25,43:31:7:8:27,43:31,43:31:7,43:31:7:8,43,31,7,8,27,
Кировская область,Слободское,Слободское,112,26,43:31:7:8:14,43:31,43:31:7,43:31:7:8,43,31,7,8,14,
Кировская область,Слободское,Слободское,112,27,43:31:7:8:28,43:31,43:31:7,43:31:7:8,43,31,7,8,28,
Кировская область,Слободское,Слободское,112,28,43:31:7:8:30,43:31,43:31:7,43:31:7:8,43,31,7,8,30,
Кировская область,Слободское,Слободское,112,29,43:31:7:8:31,43:31,43:31:7,43:31:7:8,43,31,7,8,31,
Кировская область,Слободское,Слободское,112,30,43:31:7:8:34,43:31,43:31:7,43:31:7:8,43,31,7,8,34,
Кировская область,Слободское,Слободское,112,31,43:31:7:8:39,43:31,43:31:7,43:31:7:8,43,31,7,8,39,
Кировская область,Слободское,Слободское,112,32,43:31:7:8:40,43:31,43:31:7,43:31:7:8,43,31,7,8,40,
Кировская область,Слободское,Слободское,112,33,43:31:7:8:35,43:31,43:31:7,43:31:7:8,43,31,7,8,35,
Кировская область,Слободское,Слободское,112,34,43:31:7:8:36,43:31,43:31:7,43:31:7:8,43,31,7,8,36,
Кировская область,Слободское,Слободское,112,35,43:31:7:8:37,43:31,43:31:7,43:31:7:8,43,31,7,8,37,
Кировская область,Слободское,Слободское,112,36,43:31:7:8:33,43:31,43:31:7,43:31:7:8,43,31,7,8,33,
Кировская область,Слободское,Слободское,112,37,43:31:7:8:51,43:31,43:31:7,43:31:7:8,43,31,7,8,51,
Кировская область,Слободское,Слободское,112,38,43:31:7:8:43,43:31,43:31:7,43:31:7:8,43,31,7,8,43,
Кировская область,Слободское,Слободское,112,39,43:31:7:8:45,43:31,43:31:7,43:31:7:8,43,31,7,8,45,
Кировская область,Слободское,Слободское,112,40,43:31:7:8:46,43:31,43:31:7,43:31:7:8,43,31,7,8,46,
Кировская область,Слободское,Слободское,112,41,43:31:7:8:44,43:31,43:31:7,43:31:7:8,43,31,7,8,44,
Кировская область,Слободское,Слободское,112,42,43:31:7:8:48,43:31,43:31:7,43:31:7:8,43,31,7,8,48,
Кировская область,Слободское,Слободское,112,43,43:31:7:8:47,43:31,43:31:7,43:31:7:8,43,31,7,8,47,
Кировская область,Слободское,Слободское,112,44,43:31:7:8:38,43:31,43:31:7,43:31:7:8,43,31,7,8,38,
Кировская область,Слободское,Слободское,112,45,43:31:7:8:52,43:31,43:31:7,43:31:7:8,43,31,7,8,52,
Кировская область,Слободское,Слободское,112,46,43:31:7:8:50,43:31,43:31:7,43:31:7:8,43,31,7,8,50,
Кировская область,Слободское,Слободское,112,47,43:31:7:8:49,43:31,43:31:7,43:31:7:8,43,31,7,8,49,
Кировская область,Слободское,Слободское,112,48,43:31:7:8:41,43:31,43:31:7,43:31:7:8,43,31,7,8,41,
Кировская область,Слободское,Слободское,112,49,43:31:7:8:10,43:31,43:31:7,43:31:7:8,43,31,7,8,10,
Кировская область,Слободское,Слободское,112,50,43:31:7:8:42,43:31,43:31:7,43:31:7:8,43,31,7,8,42,
Кировская область,Слободское,Слободское,112,51,43:31:7:8:21,43:31,43:31:7,43:31:7:8,43,31,7,8,21,
Кировская область,Слободское,Слободское,112,52,43:31:7:8:9,43:31,43:31:7,43:31:7:8,43,31,7,8,9,
